Ignore them, Arthur.  Such spirits are notorious liars.	Ignore them, Arthur.  Such spirits are notorious liars.
We need more silver to appease us.	We need more silver to appease us.
Glorious silver!  How pure and perfect it is!  Having silver is better than having a servant!	Glorious silver!  How pure and perfect it is!  Having silver is better than having a servant!
We release you from our service and leave you a gift.	We release you from our service and leave you a gift.
The ice here is smooth and unbroken.	The ice here is smooth and unbroken.
Your horse does not want to go in that direction. It must not trust what lies beneath the snow.	Your horse does not want to go in that direction. It must not trust what lies beneath the snow.
The snow is too deep to go that way.	The snow is too deep to go that way.
You will find the trip even longer and more tiring without your horse, Arthur.	You will find the trip even longer and more tiring without your horse, Arthur.
It is a glittering palace of ice, rising from the center of the lake.	It is a glittering palace of ice, rising from the center of the lake.
You have nearly reached the edge of the lake called Ot Moor.  Through a gap in the bushes, you can catch a glimpse of a palace in the middle of the lake.	You have nearly reached the edge of the lake called Ot Moor.  Through a gap in the bushes, you can catch a glimpse of a palace in the middle of the lake.
Already, there is a touch of warmth returning to this area, but it will take some time for the ice and snow to melt.	Already, there is a touch of warmth returning to this area, but it will take some time for the ice and snow to melt.
That would not be safe in all your heavy gear.	That would not be safe in all your heavy gear.
A ridge of ice prevents you from going any further in this direction.	A ridge of ice prevents you from going any further in this direction.
A huge bank of snow blocks your path.	A huge bank of snow blocks your path.
You have reached what would normally be the shore of the lake known as Ot Moor.  It is entirely frozen over.	You have reached what would normally be the shore of the lake known as Ot Moor.  It is entirely frozen over.
It will take longer to remove the ice than to make it.  But the thaw begins slowly and the ice is surely more dangerous than it was before.	It will take longer to remove the ice than to make it.  But the thaw begins slowly and the ice is surely more dangerous than it was before.
Your horse is too wise to venture onto the ice.	Your horse is too wise to venture onto the ice.
Your mule is too intelligent to follow you onto dangerous ice.	Your mule is too intelligent to follow you onto dangerous ice.
Your horse knows better than to walk upon thin ice.	Your horse knows better than to walk upon thin ice.
You can observe ice pushed upward into a ridge by the pressure of freezing too quickly.	You can observe ice pushed upward into a ridge by the pressure of freezing too quickly.
Having reached the towering palace of ice, I must caution you.  In this cold manifestation, the Lady of the Lake may not be the benefactress you have known in the past.	Having reached the towering palace of ice, I must caution you.  In this cold manifestation, the Lady of the Lake may not be the benefactress you have known in the past.
I would guess that the triangular objects on the doors are door handles, though being made of ice do not seem very useful.	I would guess that the triangular objects on the doors are door handles, though being made of ice do not seem very useful.
The doors are made of solid ice, the same as the rest of the palace.	The doors are made of solid ice, the same as the rest of the palace.
I cannot say what meaning this symbol has.  Perhaps it is a warning, perhaps mere decoration.	I cannot say what meaning this symbol has.  Perhaps it is a warning, perhaps mere decoration.
The stairs are made of ice.  Tread carefully.	The stairs are made of ice.  Tread carefully.
In the far distance, you glimpse part of the Cotswold Hills.	In the far distance, you glimpse part of the Cotswold Hills.
The Ice Palace is even more beautiful and impressive up close than at a distance.	The Ice Palace is even more beautiful and impressive up close than at a distance.
I would say the two small pyramids of ice are purely decorative.	I would say the two small pyramids of ice are purely decorative.
This door cannot be opened.	This door cannot be opened.
It does not open.  Indeed, there was no reason for you to have returned at all.	It does not open.  Indeed, there was no reason for you to have returned at all.
Try the other door.	Try the other door.
Your arms do not reach that far.	Your arms do not reach that far.
It is already closed.	It is already closed.
Gwenhyver is a girl. I am far more than that.	Gwenhyver is a girl. I am far more than that.
Remember that finding the Grail is but half the task.  You must also be worthy to possess it.	Remember that finding the Grail is but half the task.  You must also be worthy to possess it.
Nothing can help, save the return of the object of power which was stolen from me.	Nothing can help, save the return of the object of power which was stolen from me.
That which enables me to feel warmth and love, such as the hopeless love I have for Sir Launcelot.	That which enables me to feel warmth and love, such as the hopeless love I have for Sir Launcelot.
Only the Old Ones had the power to do that.	Only the Old Ones had the power to do that.
Having told you what I know of the Grail, there is but one more boon you can desire of me -- the life of Sir Launcelot.	Having told you what I know of the Grail, there is but one more boon you can desire of me -- the life of Sir Launcelot.
I am loathe to release him.  I offered him my love and he spurned it, for he has given his whole heart to your queen.	I am loathe to release him.  I offered him my love and he spurned it, for he has given his whole heart to your queen.
If you leave him here, Pendragon, you will be free of him and need never share Gwenhyver's love with him again.	If you leave him here, Pendragon, you will be free of him and need never share Gwenhyver's love with him again.
I sense that you possess something that belongs to me.  Give it to me and I will tell you what even Merlin does not know -- where to search for the Grail.	I sense that you possess something that belongs to me.  Give it to me and I will tell you what even Merlin does not know -- where to search for the Grail.
But if you withhold it, you will have neither help nor knowledge from me.	But if you withhold it, you will have neither help nor knowledge from me.
